Título,Vínculo,Fecha,Contenido,longitud_contenido,resumen
Alerta la ONU sobre las secuelas económicas,https://www.jornada.com.mx/2023/11/08/mundo/033n2mun?partner=rss,08 de noviembre del 2023,"Gaza ha perdido al menos 61 por ciento de empleos desde que comenzó la guerra entre Israel y Hamas, reportó ayer la Organización Internacional del Trabajo, y advirtió que las consecuencias económicas reverberarán durante “muchos años”. Las bajas estimadas de empleo en el territorio palestino equivalen a 182 mil puestos de trabajo, indicó el ente laboral de la Organización de Naciones Unidas en una evaluación del impacto económico del conflicto citada por la cadena catarí Al Jazeera. “Nuestra evaluación inicial de las repercusiones de la trágica crisis actual en el mercado laboral palestino ha arrojado resultados en extremo preocupantes”, advirtió Ruba Jaradat, director regional de la OIT para los estados Árabes.",721,"La Organización Internacional del Trabajo (OIT) reportó que Gaza ha perdido al menos el 61% de sus empleos desde el inicio de la guerra entre Israel y Hamas, lo que equivale a aproximadamente 182,000 puestos de trabajo. La OIT advirtió que las consecuencias económicas de este conflicto se sentirán durante muchos años. Ruba Jaradat, directora regional de la OIT para los Estados Árabes, calificó los resultados de la evaluación del impacto económico como extremadamente preocupantes."
Prever la intensidad del ciclón era difícil; superó los registros históricos: experta,https://www.jornada.com.mx/2023/11/04/politica/004n2pol?partner=rss,04 de noviembre del 2023,"La intensidad del huracán Otis –lamás alta registrada en toda la historia en esa zona del país– era muy difícil de prever, pues sólo un modelo de análisis de estos fenómenos en todo el mundo anticipó que el meteoro quizá podría llegar a las categorías más peligrosas, señaló Claudia Rojas Serna, profesora del departamento de Ingeniería de Procesos e Hidráulica de la Universidad Autónoma Metropolitana, unidad Iztapalapa.",422,"La intensidad del huracán Otis, que alcanzó niveles históricos en la zona, fue complicado de prever, ya que únicamente un modelo de análisis meteorológico global logró anticipar que el huracán podría alcanzar categorías muy peligrosas. Esta información fue proporcionada por Claudia Rojas Serna, profesora del departamento de Ingeniería de Procesos e Hidráulica de la Universidad Autónoma Metropolitana, unidad Iztapalapa."
Impugnan otros cinco morenistas prohibición de hablar de Taboada,https://www.jornada.com.mx/2024/05/03/capital/029n2cap?partner=rss,03 de mayo del 2024,"Con las impugnaciones de los dirigentes nacionales de Morena Mario Delgado y Citlali Hernández; de la candidata a la alcaldía Benito Juárez, Leticia Varela; del senador César Cravioto y de la morenista Dunia Ludlow suman nueve juicios en contra de las medidas cautelares que les prohíben utilizar el término “cártel inmobiliario” contra el candidato opositor a la jefatura de Gobierno, Santiago Taboada.",403,"Dirigentes nacionales de Morena, incluyendo a Mario Delgado y Citlali Hernández, así como la candidata a la alcaldía de Benito Juárez, Leticia Varela, y otros miembros del partido, han presentado impugnaciones en relación a las medidas cautelares que les prohíben usar el término ""cártel inmobiliario"" en contra del candidato opositor a la jefatura de Gobierno, Santiago Taboada. Hasta el momento, se han acumulado un total de nueve juicios al respecto."
Aburto debe esperar que la Corte resuelva recurso para definir su sentencia,https://www.jornada.com.mx/2023/10/22/politica/014n1pol?partner=rss,22 de octubre del 2023,"Mario Aburto Martínez tendrá que esperar hasta que la Suprema Corte de Justicia de la Nación (SCJN) resuelva el recurso de revisión presentado por la Fiscalía General de la República (FGR), para conocer si se modifica de manera definitiva la sentencia de 45 años dictada en su contra por el asesinato de Luis Donaldo Colosio Murrieta, candidato del PRI a la Presidencia de la República en 1994, informó Arturo Robles Feria, uno de sus abogados defensores.",455,"Mario Aburto Martínez deberá esperar la decisión de la Suprema Corte de Justicia de la Nación (SCJN) sobre el recurso de revisión presentado por la Fiscalía General de la República (FGR). Esta resolución determinará si se modifica la sentencia de 45 años que Aburto cumple por el asesinato de Luis Donaldo Colosio, candidato del PRI a la Presidencia en 1994. La información fue proporcionada por Arturo Robles Feria, uno de los abogados defensores de Aburto."
FGR cita a comparecer a agricultores por toma de casetas en Sinaloa,https://www.jornada.com.mx/2024/05/16/estados/028n2est?partner=rss,16 de mayo del 2024,"La Fiscalía General de la República (FGR) citó a comparecer a los dirigentes de productores de maíz de Mocorito y Guasave, Sinaloa, por la toma de casetas de peaje y el bloqueo de la carretera internacional que realizaron los días 29 de abril y 2 de mayo pasados para demandar a los gobiernos federal y estatal les aumentaran el precio de garantía del grano anunciado por la federación, denunciaron agricultores.",412,"La Fiscalía General de la República (FGR) ha llamado a comparecer a los líderes de los productores de maíz de Mocorito y Guasave, Sinaloa, debido a la toma de casetas de peaje y el bloqueo de la carretera internacional que realizaron el 29 de abril y el 2 de mayo. Estas acciones se llevaron a cabo en protesta por el precio de garantía del maíz anunciado por el gobierno federal, que los agricultores consideran insuficiente."
Arévalo anuncia para Guatemala una nueva “primavera democrática”,https://www.jornada.com.mx/2023/10/21/mundo/026n1mun?partner=rss,21 de octubre del 2023,"Guatemala. Ante una multitudinaria concentración en el capitalino Centro Cívico, el presidente electo de Guatemala, Bernardo Arévalo de León, recordó ayer la revolución del 20 de octubre de 1944, que comenzó la “primavera democrática” liderada por su padre, el ex mandatario Juan José Arévalo (1945-1951), la cual dio pie a las primeras elecciones democráticas en el país, y brindó continuidad a su sucesor, Jacobo Árbenz Guzmán, hasta ser derrocado en 1954.",458,"En una masiva concentración en el Centro Cívico de la Ciudad de Guatemala, el presidente electo Bernardo Arévalo de León hizo un homenaje a la revolución del 20 de octubre de 1944, que marcó el inicio de la ""primavera democrática"" en el país, impulsada por su padre, Juan José Arévalo, quien fue presidente de 1945 a 1951. Arévalo destacó la importancia de este período en la historia de Guatemala, que permitió las primeras elecciones democráticas y la continuidad del gobierno de su sucesor, Jacobo Árbenz Guzmán, hasta su derrocamiento en 1954."
Conmemoran intento de golpe de estado de Hugo Chávez,https://www.jornada.com.mx/2024/02/04/politica/010n3pol?partner=rss,04 de febrero del 2024,"A 32 años del intento de golpe de Estado que protagonizó el entonces teniente coronel Hugo Chávez Frías, el embajador de Venezuela en México, Francisco Arias Cárdenas, elogió ese episodio que cambió el rumbo de su país y marcó el nacimiento de la revolución bolivariana. En la embajada en México, el diplomático participó de manera virtual para conmemorar el Día de la Dignidad Nacional 4F y recordó el alzamiento contra el imperialismo de Estados Unidos en el país y las políticas neoliberales del gobiernode Carlos Andrés Pérez.",530,"A 32 años del intento de golpe de Estado liderado por el entonces teniente coronel Hugo Chávez, el embajador de Venezuela en México, Francisco Arias Cárdenas, destacó este evento como un punto de inflexión que dio origen a la revolución bolivariana. Durante una conmemoración virtual del Día de la Dignidad Nacional 4F, el diplomático recordó la lucha contra el imperialismo estadounidense y las políticas neoliberales del gobierno de Carlos Andrés Pérez, enfatizando la importancia de este alzamiento en la historia del país."
Decretan en España prisión sin fianza contra ex presidente de la CNBV,https://www.jornada.com.mx/2024/02/27/economia/021n2eco?partner=rss,27 de febrero del 2024,"Madrid. Un juez de España decretó el “ingreso en prisión sin fianza” contra Eduardo Fernández García, ex presidente de la Comisión Nacional Bancaria y de Valores (CNBV), quien mantiene abierta una acusación pública contra Televisa y sus máximos gestores, incluido su principal accionista, Emilio Azcárraga Jean, por actos de corrupción y sobornos provenientes de funcionarios, gobiernos y partidos políticos corruptos durante el periodo del 2008 a 2011, es decir, durante el sexenio del panista Felipe Calderón.",511,"Un juez en Madrid ha ordenado el ingreso en prisión sin fianza de Eduardo Fernández García, ex presidente de la Comisión Nacional Bancaria y de Valores (CNBV). Fernández mantiene una acusación pública contra Televisa y sus líderes, incluyendo a Emilio Azcárraga Jean, por corrupción y sobornos vinculados a funcionarios y partidos políticos corruptos durante el gobierno de Felipe Calderón, entre 2008 y 2011."
Juve va a la Champions tras derrota de la Roma,https://www.jornada.com.mx/2024/05/13/deportes/a10n3dep?partner=rss,13 de mayo del 2024,"Roma. La Juventus selló su boleto a la próxima Liga de Campeones de Europa pese a su empate 1-1 en Turín ante la ya descendida Salernitana, donde milita el mexicano Guillermo Ochoa, toda vez que la derrota 2-1 de la Roma ante el Atalanta le benefició. El resultado de ayer en la fecha 36 de la Serie A italiana, pudo haber sido peor para la Vecchia signora, de no ser por el gol (al minuto 91) del francés Adrien Rabiot que salvó un punto y el honor de los bianconeri, que sumaron su quinta igualada consecutiva en el torneo, por lo que fueron abucheados por su afición. A falta de dos fechas, la Juve (cuarto, con 67 unidades) aventaja en siete puntos a la Roma (6), mientras los cinco primeros jugarán la próxima edición de la Champions. Más resultados: Lazio 2-0 Empoli, Génova 2-1 Sassuolo y Hellas Verona 1-2 Torino.",821,"La Juventus logró clasificar a la próxima Liga de Campeones de Europa tras empatar 1-1 contra la Salernitana en Turín, gracias a un gol de Adrien Rabiot en el minuto 91. Este resultado, junto con la derrota de la Roma ante el Atalanta (2-1), benefició a la Juve, que se mantiene en la cuarta posición de la Serie A con 67 puntos, siete por encima de la Roma, que ocupa el sexto lugar. La Juventus ha empatado en sus últimos cinco partidos, lo que ha generado el descontento de sus aficionados. En otros resultados de la jornada, Lazio venció 2-0 a Empoli, Génova ganó 2-1"
"Nuevas plataformas y periodismo excelso, ruta de medios para prosperar en la crisis",https://www.jornada.com.mx/2024/02/02/economia/021n1eco?partner=rss,02 de febrero del 2024,"Washington y Nueva York., Las mayoría de las organizaciones de medios informativos en Estados Unidos y alrededor del mundo siguen batallando para sobrevivir en la era digital, y entre los escombros algunas están logrando hasta prosperar en gran medida al establecer relaciones más directas con sus públicos mediante diversas plataformas, como también por un periodismo excelso y por ofrecer a sectores específicos la información de la cual dependen.",449,"Las organizaciones de medios en Estados Unidos y a nivel global enfrentan desafíos para sobrevivir en la era digital. Sin embargo, algunas han encontrado éxito al establecer conexiones más directas con su audiencia a través de diversas plataformas. Además, han logrado prosperar al ofrecer un periodismo de alta calidad y proporcionar información relevante a sectores específicos que la requieren."
